timestamp,latitude,longitude,geofence_name,distance_meters,inside,event,alert_active,output_active
2026-04-02 14:46:04,40.744033594,-84.105639244,Elm St. Bridge,847.59,False,CHECK,False,False
2026-04-02 14:46:05,40.744017136,-84.105650367,Main St. Bridge,227.48,False,CHECK,False,False
2026-04-02 14:46:05,40.744017136,-84.105650367,Elm St. Bridge,846.39,False,CHECK,False,False
2026-04-02 14:46:06,40.74400582,-84.105651517,Main St. Bridge,226.26,False,CHECK,False,False
2026-04-02 14:46:06,40.74400582,-84.105651517,Elm St. Bridge,845.32,False,CHECK,False,False
2026-04-02 14:46:07,40.744003952,-84.105653989,Main St. Bridge,226.09,False,CHECK,False,False
2026-04-02 14:46:07,40.744003952,-84.105653989,Elm St. Bridge,845.23,False,CHECK,False,False
2026-04-02 14:46:08,40.743996459,-84.105655234,Main St. Bridge,225.28,False,CHECK,False,False
2026-04-02 14:46:08,40.743996459,-84.105655234,Elm St. Bridge,844.54,False,CHECK,False,False
2026-04-02 14:46:09,40.7439889,-84.105655058,Main St. Bridge,224.45,False,CHECK,False,False
2026-04-02 14:46:09,40.7439889,-84.105655058,Elm St. Bridge,843.79,False,CHECK,False,False
2026-04-02 14:46:10,40.743987894,-84.105654318,Main St. Bridge,224.33,False,CHECK,False,False
2026-04-02 14:46:10,40.743987894,-84.105654318,Elm St. Bridge,843.67,False,CHECK,False,False
2026-04-02 14:46:11,40.743978374,-84.105655375,Main St. Bridge,223.31,False,CHECK,False,False
2026-04-02 14:46:11,40.743978374,-84.105655375,Elm St. Bridge,842.77,False,CHECK,False,False
2026-04-02 14:46:12,40.743968008,-84.105660327,Main St. Bridge,222.24,False,CHECK,False,False
2026-04-02 14:46:12,40.743968008,-84.105660327,Elm St. Bridge,841.94,False,CHECK,False,False
2026-04-02 14:46:13,40.743973484,-84.105658492,Main St. Bridge,222.81,False,CHECK,False,False
2026-04-02 14:46:13,40.743973484,-84.105658492,Elm St. Bridge,842.41,False,CHECK,False,False
2026-04-02 14:46:14,40.743979707,-84.105656252,Main St. Bridge,223.46,False,CHECK,False,False
2026-04-02 14:46:14,40.743979707,-84.105656252,Elm St. Bridge,842.93,False,CHECK,False,False
2026-04-02 14:46:15,40.743971552,-84.105658159,Main St. Bridge,222.6,False,CHECK,False,False
